Date,Open,High,Low,Close,Adj Close,Volume,Stock,Predicted_Cluster_Sentiment,Predicted_Reference_Sentiment,StockSentiment
2021-01-04,21.270000457763672,21.34000015258789,16.639999389648438,17.899999618530273,17.899999618530273,2547500,STEM,0.06734084472355623,0.0,0.020202253417066867
2021-01-05,17.6200008392334,18.979999542236328,17.5,17.899999618530273,17.899999618530273,1149600,STEM,0.07236208709145389,0.0,0.021708626127436167
2021-01-06,18.969999313354492,21.0,18.549999237060547,18.850000381469727,18.850000381469727,2119000,STEM,0.037589355731404615,0.0,0.011276806719421384
2021-01-07,20.270000457763672,23.770000457763672,19.860000610351562,23.309999465942383,23.309999465942383,2872600,STEM,0.13073102655666383,0.0,0.03921930796699915
2021-01-08,23.010000228881836,29.280000686645508,22.15999984741211,25.489999771118164,25.489999771118164,5162300,STEM,0.06809506218446004,0.0,0.020428518655338013
2021-01-11,27.0,33.58000183105469,26.020000457763672,30.950000762939453,30.950000762939453,17416600,STEM,0.11568560012568524,0.0,0.03470568003770557
2021-01-12,35.09000015258789,36.91999816894531,32.22999954223633,36.0,36.0,9218500,STEM,0.06491751286186671,0.0,0.019475253858560013
2021-01-13,38.0,38.20000076293945,33.18299865722656,33.75,33.75,5991200,STEM,0.07236208709145389,0.0,0.021708626127436167
2021-01-14,34.0,34.7400016784668,32.5,33.939998626708984,33.939998626708984,2655500,STEM,0.09192691313119833,0.0,0.027578073939359498
2021-01-15,32.9900016784668,33.130001068115234,30.200000762939453,31.489999771118164,31.489999771118164,2755100,STEM,0.13316094077084106,0.0,0.03994828223125232
2021-01-19,35.099998474121094,37.0,33.75,34.41999816894531,34.41999816894531,3406000,STEM,0.08367755874220596,0.0,0.02510326762266179
2021-01-20,35.400001525878906,35.5,32.25,33.849998474121094,33.849998474121094,2277800,STEM,0.07403644871321267,0.0,0.0222109346139638
2021-01-21,34.86000061035156,35.0,32.63999938964844,33.310001373291016,33.310001373291016,1461800,STEM,0.07236208709145389,0.0,0.021708626127436167
2021-01-22,32.7400016784668,34.59000015258789,31.200000762939453,34.43000030517578,34.43000030517578,2293400,STEM,0.1881512363595851,0.0,0.05644537090787553
2021-01-25,35.9900016784668,36.0,30.299999237060547,32.0,32.0,3434500,STEM,0.13163989890993957,0.0,0.03949196967298187
2021-01-26,32.04999923706055,32.66999816894531,29.209999084472656,29.309999465942383,29.309999465942383,2606200,STEM,0.3586144184592652,0.0,0.10758432553777957
